6	2009-10-05T02:06:08.219663000-0400	74.53.140.153	25	10.10.1.4	1470	S: 220-xc90.websitewelcome.com ESMTP Exim 4.69 #1 Mon, 05 Oct 2009 01:05:54 -0500  | We do not authorize the use of this system to transport unsolicited,  | and/or bulk e-mail.
7	2009-10-05T02:06:08.224809000-0400	10.10.1.4	1470	74.53.140.153	25	C: EHLO GP
9	2009-10-05T02:06:08.566183000-0400	74.53.140.153	25	10.10.1.4	1470	S: 250-xc90.websitewelcome.com Hello GP [122.162.143.157] | SIZE 52428800 | PIPELINING | AUTH PLAIN LOGIN | STARTTLS | HELP
10	2009-10-05T02:06:08.568729000-0400	10.10.1.4	1470	74.53.140.153	25	C: AUTH LOGIN
11	2009-10-05T02:06:08.911081000-0400	74.53.140.153	25	10.10.1.4	1470	S: 334 VXNlcm5hbWU6
12	2009-10-05T02:06:08.911655000-0400	10.10.1.4	1470	74.53.140.153	25	C: User: Z3VycGFydGFwQHBhdHJpb3RzLmlu
13	2009-10-05T02:06:09.253544000-0400	74.53.140.153	25	10.10.1.4	1470	S: 334 UGFzc3dvcmQ6
14	2009-10-05T02:06:09.254118000-0400	10.10.1.4	1470	74.53.140.153	25	C: Pass: cHVuamFiQDEyMw==
15	2009-10-05T02:06:09.613798000-0400	74.53.140.153	25	10.10.1.4	1470	S: 235 Authentication succeeded
16	2009-10-05T02:06:09.614414000-0400	10.10.1.4	1470	74.53.140.153	25	C: MAIL FROM: <gurpartap@patriots.in>
17	2009-10-05T02:06:09.956765000-0400	74.53.140.153	25	10.10.1.4	1470	S: 250 OK
18	2009-10-05T02:06:09.957250000-0400	10.10.1.4	1470	74.53.140.153	25	C: RCPT TO: <raj_deol2002in@yahoo.co.in>
19	2009-10-05T02:06:10.319708000-0400	74.53.140.153	25	10.10.1.4	1470	S: 250 Accepted
20	2009-10-05T02:06:10.320203000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA
21	2009-10-05T02:06:10.661679000-0400	74.53.140.153	25	10.10.1.4	1470	S: 354 Enter message, ending with "." on a line by itself
22	2009-10-05T02:06:10.692743000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1460 bytes
23	2009-10-05T02:06:10.692786000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1460 bytes
24	2009-10-05T02:06:10.692804000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1460 bytes
25	2009-10-05T02:06:10.692823000-0400	10.10.1.4	1470	74.53.140.153	25	[TCP Window Full] C: DATA fragment, 1460 bytes
26	2009-10-05T02:06:10.695115000-0400	192.168.1.1,10.10.1.4	1470	10.10.1.4,74.53.140.153	25	Destination unreachable (Fragmentation needed)
28	2009-10-05T02:06:10.695623000-0400	192.168.1.1,10.10.1.4	1470	10.10.1.4,74.53.140.153	25	Destination unreachable (Fragmentation needed)
29	2009-10-05T02:06:10.696248000-0400	192.168.1.1,10.10.1.4	1470	10.10.1.4,74.53.140.153	25	Destination unreachable (Fragmentation needed)
30	2009-10-05T02:06:10.696634000-0400	192.168.1.1,10.10.1.4	1470	10.10.1.4,74.53.140.153	25	Destination unreachable (Fragmentation needed)
32	2009-10-05T02:06:11.104972000-0400	10.10.1.4	1470	74.53.140.153	25	[TCP Out-Of-Order] C: DATA fragment, 1452 bytes
33	2009-10-05T02:06:11.104998000-0400	10.10.1.4	1470	74.53.140.153	25	[TCP Out-Of-Order] C: DATA fragment, 1452 bytes
35	2009-10-05T02:06:11.469759000-0400	10.10.1.4	1470	74.53.140.153	25	[TCP Out-Of-Order] C: DATA fragment, 1452 bytes
36	2009-10-05T02:06:11.469814000-0400	10.10.1.4	1470	74.53.140.153	25	[TCP Out-Of-Order] C: DATA fragment, 1452 bytes
38	2009-10-05T02:06:11.494181000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1452 bytes
39	2009-10-05T02:06:11.494199000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1452 bytes
41	2009-10-05T02:06:11.834628000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1452 bytes
42	2009-10-05T02:06:11.834655000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1452 bytes
44	2009-10-05T02:06:11.858316000-0400	10.10.1.4	1470	74.53.140.153	25	C: DATA fragment, 1452 bytes
45	2009-10-05T02:06:11.858334000-0400	10.10.1.4	1470	74.53.140.153	25	from: "Gurpartap Singh" <gurpartap@patriots.in>, subject: SMTP,  (text/plain) (text/html) (text/plain) (text/plain) (text/plain) | .
52	2009-10-05T02:06:12.248789000-0400	74.53.140.153	25	10.10.1.4	1470	S: 250 OK id=1Mugho-0003Dg-Un
54	2009-10-05T02:06:14.763825000-0400	10.10.1.4	1470	74.53.140.153	25	C: QUIT
56	2009-10-05T02:06:15.105467000-0400	74.53.140.153	25	10.10.1.4	1470	S: 221 xc90.websitewelcome.com closing connection
